dt,open,high,low,close,volume,Rsi7,Rsi14,Rsi26,ema7,ema12,ema26,sma7,sma14,sma26,bollup,bolldown,sma20,macd
1/1/2019,3701.23,3810.16,3642.0,3797.14,23741.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/2019,3796.45,3882.14,3750.45,3858.56,35156.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/3/2019,3857.57,3862.74,3730.0,3766.78,29406.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/4/2019,3767.2,3823.64,3703.57,3792.01,29519.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/5/2019,3790.09,3840.99,3751.0,3770.96,30490.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/6/2019,3771.12,4027.71,3740.0,3987.6,36553.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/7/2019,3987.62,4017.9,3921.53,3975.45,31869.85,0.0,0.0,0.0,3849.79,0.0,0.0,3849.79,0.0,0.0,0.0,0.0,0.0,0.0
1/8/2019,3976.76,4069.8,3903.0,3955.13,38901.42,67.61,0.0,0.0,3872.36,0.0,0.0,3872.36,0.0,0.0,0.0,0.0,0.0,0.0
1/9/2019,3955.45,4006.81,3930.04,3966.65,28989.44,68.56,0.0,0.0,3887.8,0.0,0.0,3887.8,0.0,0.0,0.0,0.0,0.0,0.0
1/10/2019,3966.06,3996.01,3540.0,3585.88,59402.23,32.32,0.0,0.0,3861.95,0.0,0.0,3861.95,0.0,0.0,0.0,0.0,0.0,0.0
1/11/2019,3585.88,3658.0,3465.0,3601.31,38338.65,33.96,0.0,0.0,3834.71,0.0,0.0,3834.71,0.0,0.0,0.0,0.0,0.0,0.0
1/12/2019,3601.31,3618.19,3530.0,3583.13,21999.93,32.86,0.0,0.0,3807.88,3803.38,0.0,3807.88,0.0,0.0,0.0,0.0,0.0,3803.38
1/13/2019,3584.1,3611.1,3441.3,3476.81,26385.76,26.9,0.0,0.0,3734.91,3753.14,0.0,3734.91,0.0,0.0,0.0,0.0,0.0,3753.14
1/14/2019,3477.56,3671.87,3467.02,3626.09,35235.21,43.63,0.0,0.0,3685.0,3733.59,0.0,3685.0,3767.39,0.0,0.0,0.0,0.0,3733.59
1/15/2019,3626.08,3648.42,3516.62,3553.06,34138.0,38.59,39.85,0.0,3627.56,3705.82,0.0,3627.56,3738.81,0.0,0.0,0.0,0.0,3705.82
1/16/2019,3553.06,3645.0,3543.51,3591.84,27480.18,42.69,41.87,0.0,3574.02,3688.28,0.0,3574.02,3719.21,0.0,0.0,0.0,0.0,3688.28
1/17/2019,3591.84,3634.7,3530.39,3616.21,29755.44,45.36,43.16,0.0,3578.35,3677.19,0.0,3578.35,3705.48,0.0,0.0,0.0,0.0,3677.19
1/18/2019,3613.32,3620.0,3565.75,3594.87,22713.45,43.29,42.27,0.0,3577.43,3664.53,0.0,3577.43,3690.73,0.0,0.0,0.0,0.0,3664.53
1/19/2019,3594.87,3720.0,3594.23,3665.3,22171.58,51.75,46.2,0.0,3589.17,3664.65,0.0,3589.17,3687.34,0.0,0.0,0.0,0.0,3664.65
1/20/2019,3665.75,3693.73,3475.0,3539.28,27901.94,39.46,40.85,0.0,3598.09,3645.36,0.0,3598.09,3667.6,0.0,4043.76,3386.64,3715.2,3645.36
1/21/2019,3539.26,3559.51,3475.5,3526.9,19644.44,38.42,40.36,0.0,3583.92,3627.13,0.0,3583.92,3648.84,0.0,4038.19,3365.19,3701.69,3627.13
1/22/2019,3526.88,3608.5,3434.85,3570.93,29336.44,44.52,43.0,0.0,3586.48,3618.48,0.0,3586.48,3638.45,0.0,4020.15,3354.47,3687.31,3618.48
